TFB History
Declared district(s),Revoked district(s),Declared date and time
"Mallee, Wimmera and Northern Country",,19/03/2020 00:01 to 19/03/2020 23:59
"Mallee, Wimmera, South West, Northern Country, North Central and Central (includes Melbourne and Geelong)",,31/01/2020 00:01 to 31/01/2020 23:59
"Mallee, Wimmera, South West, Northern Country, North Central and Central (includes Melbourne and Geelong)",,22/01/2020 00:01 to 22/01/2020 23:59
"Mallee, Northern Country, North Central, North East, East Gippsland and West and South Gippsland",,10/01/2020 00:01 to 10/01/2020 23:59
"Mallee, Northern Country, North Central, North East, East Gippsland and West and South Gippsland",,04/01/2020 00:01 to 04/01/2020 23:59
"Wimmera, South West, North East and East Gippsland",,03/01/2020 00:01 to 03/01/2020 23:59
the whole State of Victoria,,30/12/2019 00:01 to 30/12/2019 23:59
Mallee,,29/12/2019 00:01 to 29/12/2019 23:59
the whole State of Victoria,,20/12/2019 00:01 to 20/12/2019 23:59
Northern Country and North East,,19/12/2019 00:01 to 19/12/2019 23:59
Wimmera,,18/12/2019 00:01 to 18/12/2019 23:59
"Mallee, Wimmera and Northern Country",,09/12/2019 00:01 to 09/12/2019 23:59
Mallee and Northern Country,,25/11/2019 00:01 to 25/11/2019 23:59
the whole State of Victoria,,21/11/2019 00:01 to 21/11/2019 23:59
Mallee,,20/11/2019 00:01 to 20/11/2019 23:59
Mallee,,11/11/2019 00:01 to 11/11/2019 23:59
Mallee,,01/11/2019 00:01 to 01/11/2019 23:59
Mallee,,24/10/2019 00:01 to 24/10/2019 23:59
Mallee and Northern Country,,29/03/2019 00:01 to 29/03/2019 23:59
the whole State of Victoria,,03/03/2019 00:01 to 03/03/2019 23:59
South West,,02/03/2019 00:01 to 02/03/2019 23:59
South West,,01/03/2019 00:01 to 01/03/2019 23:59
the whole State of Victoria,,03/02/2019 00:01 to 03/02/2019 23:59
"Mallee, Wimmera and South West",,30/01/2019 00:01 to 30/01/2019 23:59
the whole State of Victoria,,25/01/2019 00:01 to 25/01/2019 23:59
"Mallee, Wimmera and Northern Country",,17/01/2019 00:01 to 17/01/2019 23:59
the whole State of Victoria,,15/01/2019 00:01 to 15/01/2019 23:59
Mallee and Northern Country,,12/01/2019 00:01 to 12/01/2019 23:59
the whole State of Victoria,,04/01/2019 00:01 to 04/01/2019 23:59
Mallee,,28/12/2018 00:01 to 28/12/2018 23:59
Mallee and Wimmera,,27/12/2018 00:01 to 27/12/2018 23:59
"Mallee, Wimmera and Northern Country",,07/12/2018 00:01 to 07/12/2018 23:59
Mallee and Wimmera,,01/12/2018 00:01 to 01/12/2018 23:59
Mallee,,02/11/2018 00:01 to 02/11/2018 23:59
Mallee,,01/11/2018 00:01 to 01/11/2018 23:59
Mallee and Wimmera,,11/04/2018 00:01 to 11/04/2018 23:59
Mallee,,10/04/2018 00:01 to 10/04/2018 23:59
South West and Central (includes Melbourne and Geelong),,18/03/2018 00:01 to 18/03/2018 23:59
"Mallee, Wimmera, South West, Northern Country, North Central and Central (includes Melbourne and Geelong)",,17/03/2018 00:01 to 17/03/2018 23:59
Mallee and Northern Country,,10/02/2018 00:01 to 10/02/2018 23:59
Mallee,,08/02/2018 00:01 to 08/02/2018 23:59
Mallee,,21/01/2018 00:01 to 21/01/2018 23:59
Mallee,,20/01/2018 00:01 to 20/01/2018 23:59
"Mallee, Wimmera, South West, North Central and Central (includes Melbourne and Geelong)",,19/01/2018 00:01 to 19/01/2018 23:59
"Mallee, Wimmera and South West",,18/01/2018 00:01 to 18/01/2018 23:59
Mallee and Northern Country,,12/01/2018 00:01 to 12/01/2018 23:59
the whole State of Victoria,,06/01/2018 00:01 to 06/01/2018 23:59
"Mallee, Wimmera, Northern Country and North East",,19/12/2017 00:01 to 19/12/2017 23:59
Mallee and Wimmera,,13/12/2017 00:01 to 13/12/2017 23:59
Mallee,,14/11/2017 00:01 to 14/11/2017 23:59
Mallee,,29/10/2017 00:01 to 29/10/2017 23:59
"Mallee, Wimmera, South West, Northern Country, North Central and Central (includes Melbourne and Geelong)",,22/02/2017 00:01 to 22/02/2017 23:59
"Wimmera, South West and Central (includes Melbourne and Geelong)",,15/02/2017 00:01 to 15/02/2017 23:59
"Mallee, Wimmera and Central (includes Melbourne and Geelong)",,09/02/2017 00:01 to 09/02/2017 23:59
the whole State of Victoria,,30/01/2017 00:01 to 30/01/2017 23:59
"Mallee, Wimmera and North Central",,17/01/2017 00:01 to 17/01/2017 23:59
"Mallee, Wimmera and Northern Country",,13/12/2016 00:01 to 13/12/2016 23:59
Mallee,,04/12/2016 00:01 to 04/12/2016 23:59
Mallee,,21/11/2016 00:01 to 21/11/2016 23:59
North Central,,08/03/2016 00:01 to 08/03/2016 23:59
"Mallee, Northern Country, North Central and North East",,24/02/2016 00:01 to 24/02/2016 23:59
